,Flamethrower,Rocket launcher,Mortar,Autocannon,Rotating Blades,,Flame A,Flame B,Rocket A,Rocket B,Mortar A,Mortar B,Auto A,Auto B,Blades A,Blades B
Sheet metal,,x,,x,X,,,,x,x,y,,x,x,XX,X
Metal pipes,x,X,X,,,,x,x,X,X,X,X,,y,,
Gears,X,,x,X,x,,X,X,,y,x,x,X,X,x,x

Jellified fuel,,,,,,,y,,,,,,y,,,
Plastic explosives,,,,,,,,,y,,,y,,,,
Wiring,,,,,,,,y,,,,,,,,y
,X=Material principal,,x=Material secundario,,y=Material terciario,,XX=Material principal extra,,,,,,,,,


Cantidades/Nivel,Base,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,,,,,
Total principal,15.0,Tinkering,15,25,50,100,Tinkering avanzado,100,125,150,225,,,,,
Multiplicador principal,,,1.0,1.66,3.33,6.66,,6.66,8.33,10.0,15.0,,,,,
Total secundario,10.0,,0,10,20,40,,50,60,80,120,,,,,
Multiplicador secundario,,,0.0,1.0,2.0,4.0,,5.0,6.0,8.0,12.0,,,,,
Total terciario,10.0,,0,0,0,0,,10,20,40,100,,,,,
Multiplicador terciario,,,0.0,0.0,0.0,0.0,,1.0,2.0,4.0,10.0,,,,,
Total prin. extra,10.0,,0,0,0,0,,20,40,80,275,,,,,
Multiplicator prin. extra,,,0.0,0.0,0.0,0.0,,2.0,4.0,8.0,27.5,,,,,
