Flamethrower,,,,,,,,,,,,,,,,,,,,,,,
Basic,,,,,,,Jellified fuel,,,,,,,Liquid nitrogen,,,,,,,Scales with (effectiveness%),Notes,"""eff%"" representa la efectividad de un escalado: si es 50%, por ejemplo, el multiplicador se multiplica por 0.5 antes de ser aplicado a la estadistica. Si no hay multiplicador, es porque el multiplicador es 1."
,,Base,2.0,3.0,4.0,5.0,,,6.0,7.0,8.0,9.0,10.0,,,6.0,7.0,8.0,9.0,10.0,,,
Damage,Total,25.0,35,45,55,65,,,75,85,95,105,150,,,80,95,110,125,200,"Damage multiplier
Elite damage multiplier*","Damage per tick
*conditional",
,Added,,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,45.0,,,15.0,15.0,15.0,15.0,75.0,,,
Auto mode range (m),Total,3.0,3,3.5,3.5,4,,,4,4.5,4.5,5,7,,,4,4.5,4.5,5,7,Projectile area size (50%),,
,Added,,0.0,0.5,0.0,0.5,,,0.0,0.5,0.0,0.5,2.0,,,0.0,0.5,0.0,0.5,2.0,,,
Manual range (m),Total,12.0,13,14,15,16,,,17,18,19,20,22,,,17,18,19,20,22,Projectile area size,,
,Added,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,2.0,,,
Manual ammo,Total,100.0,120,140,160,180,,,200,220,240,260,300,,,200,220,240,260,300,Ammo multiplier,,
,Added,,20.0,20.0,20.0,20.0,,,20.0,20.0,20.0,20.0,40.0,,,20.0,20.0,20.0,20.0,40.0,,,
Ability radius (m),Total,6.0,8,10,12,14,,,16,18,20,22,24,,,16,18,20,22,24,Projectile area size,,
,Added,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,,
Ability damage,Total,50.0,70,90,110,130,,,150,170,190,210,300,,,160,190,220,250,400,"Damage multiplier
Elite damage multiplier*
Ability damage multiplier",*conditional,
,Added,,20.0,20.0,20.0,20.0,,,20.0,20.0,20.0,20.0,90.0,,,30.0,30.0,30.0,30.0,150.0,,,
Ability cooldown (s),Total,14.0,13,12,11,10,,,9,8,7,6,5,,,9,8,7,6,5,Ability cooldown reduction,,
,Added,,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,-1.0,,,
